Database,ExchangeGuid,ExchangeUserAccountControl,LinkedMasterAccount,SamAccountName,ServerLegacyDN,ServerName,Office,UserPrincipalName,Alias,OrganizationalUnit,PrimarySmtpAddress,Name,DistinguishedName,Guid
Dag2DB36,9486af54-a69f-4a30-807a-a7deb820257c,AccountDisabled,EMEA\Fermin.Holder,Fermin.Holder,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,SG-01 ,Fermin.Holder@a360labs.com,FerminHolder,a360labs.net/a360labsUsers/cloud,FerminHolder@a360labs.com,Fermin Holder,"CN=Fermin Holder,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",57006980-61de-43ca-b17d-60443dfde513
Dag2DB29,fb04d1ea-5ba3-4bbe-b7bf-65825ad88575,AccountDisabled,EMEA\Willian.English,Willian.English,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CA ,Willian.English@a360labs.com,WillianEnglish,a360labs.net/a360labsUsers/cloud,WillianEnglish@a360labs.com,Willian English,"CN=Willian English,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",27e9e9c5-eaa3-48a5-95dc-fdcc755afe30
Dag2DB36,1f4c0c98-b516-4950-9aa5-d1d385563546,AccountDisabled,NAEAST\Reed.Skinner,Reed.Skinner,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IE-D  ,Reed.Skinner@a360labs.com,ReedSkinner,a360labs.net/a360labsUsers/cloud,ReedSkinner@a360labs.com,Reed Skinner,"CN=Reed Skinner,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",4cabe4bd-87b8-4e44-8cc4-d860d2997897
Dag2DB14,ca570a66-42cb-46b1-85fa-40d77172747e,AccountDisabled,EMEA\Pierre.Rocha,Pierre.Rocha,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Pierre.Rocha@a360labs.com,PierreRocha,a360labs.net/a360labsUsers/cloud,PierreRocha@a360labs.com,Pierre Rocha,"CN=Pierre Rocha,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",eeab5d67-d380-4e8b-a0bc-9612f5754612
Dag2DB17,528fdc6f-a362-4cfd-a674-aa5a20626394,AccountDisabled,NAEAST\Rigoberto.Mccormick,Rigoberto.Mccormick,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Rigoberto.Mccormick@a360labs.com,RigobertoMccormick,a360labs.net/a360labsUsers/cloud,RigobertoMccormick@a360labs.com,Rigoberto Mccormick,"CN=Rigoberto Mccormick,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",8aede6c5-02a0-4eef-ab67-b1189385d6f0
Dag2DB94,1a8e7bc9-844e-456c-8afd-08c0ef6b1316,AccountDisabled,EMEA\Arlie.Pennington,Arlie.Pennington,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,US-CA ,Arlie.Pennington@a360labs.com,ArliePennington,a360labs.net/a360labsUsers/cloud,ArliePennington@a360labs.com,Arlie Pennington,"CN=Arlie Pennington,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",99b4d260-1c77-4716-ac66-8d6bcf4d5e35
Dag2DB60,515e34f0-0fef-450c-9864-cc6c329dc8ef,AccountDisabled,EMEA\Gino.Giles,Gino.Giles,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,US-NY ,Gino.Giles@a360labs.com,GinoGiles,a360labs.net/a360labsUsers/cloud,GinoGiles@a360labs.com,Gino Giles,"CN=Gino Giles,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",7bf235b3-4999-4d5e-981a-7bd5f5844cdc
Dag2DB75,7a1406a9-2c43-4baf-a85a-f8d9257338c7,AccountDisabled,NAEAST\Prince.Bridges,Prince.Bridges,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,US-CA ,Prince.Bridges@a360labs.com,PrinceBridges,a360labs.net/a360labsUsers/cloud,PrinceBridges@a360labs.com,Prince Bridges,"CN=Prince Bridges,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",47aadc17-34cc-422f-ad01-c31d249b4d86
Dag2DB2,d150f8c5-1153-484f-bb4e-e07a53829a3b,AccountDisabled,NAEAST\Karla.Ferrell,Karla.Ferrell,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,CZ-10 ,Karla.Ferrell@a360labs.com,KarlaFerrell,a360labs.net/a360labsUsers/cloud,KarlaFerrell@a360labs.com,Karla Ferrell,"CN=Karla Ferrell,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",6df6122a-c437-4908-973f-5b4a9b102537
Dag2DB1,a1d6119e-7d54-4044-a798-b723cf1fa802,AccountDisabled,EMEA\Gladys.Aguirre,Gladys.Aguirre,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Gladys.Aguirre@a360labs.com,GladysAguirre,a360labs.net/a360labsUsers/cloud,GladysAguirre@a360labs.com,Gladys Aguirre,"CN=Gladys Aguirre,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",e5bd05af-3653-411b-8e2d-7a8ad0f83f23
Dag2DB15,71fd4f9f-d104-45e3-b5e7-8eefaab3f1ed,AccountDisabled,NAEAST\Lidia.Dillon,Lidia.Dillon,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Lidia.Dillon@a360labs.com,LidiaDillon,a360labs.net/a360labsUsers/cloud,LidiaDillon@a360labs.com,Lidia Dillon,"CN=Lidia Dillon,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",a1ebd1c3-1a84-4b9c-8fdb-8353fa0d6249
Dag2DB35,2c42578a-2bad-482e-bf63-a7b93d22726c,AccountDisabled,EMEA\Leann.Hill,Leann.Hill,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Leann.Hill@a360labs.com,LeannHill,a360labs.net/a360labsUsers/cloud,LeannHill@a360labs.com,Leann Hill,"CN=Leann Hill,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",b4af22b7-60eb-4281-a22d-dd57afc73a05
Dag2DB45,165e7b24-2602-4792-b6ca-5a654a4b803e,AccountDisabled,NAEAST\Erma.Roberts,Erma.Roberts,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IE-D  ,Erma.Roberts@a360labs.com,ErmaRoberts,a360labs.net/a360labsUsers/cloud,ErmaRoberts@a360labs.com,Erma Roberts,"CN=Erma Roberts,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",e4e4bfa0-0eb4-4f66-aca9-40f7195fd3dc
Dag2DB18,a70a576f-eb82-4993-8464-f14af3201d4b,AccountDisabled,EMEA\Will.Combs,Will.Combs,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Will.Combs@a360labs.com,WillCombs,a360labs.net/a360labsUsers/cloud,WillCombs@a360labs.com,Will Combs,"CN=Will Combs,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",b86005ae-3b9e-401b-a83b-b68e2ab111e6
Dag2DB26,a94aff5f-94f7-49ee-a28f-e463074a65e0,AccountDisabled,NAEAST\Weldon.Mata,Weldon.Mata,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Weldon.Mata@a360labs.com,WeldonMata,a360labs.net/a360labsUsers/cloud,WeldonMata@a360labs.com,Weldon Mata,"CN=Weldon Mata,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",72db3af5-ed58-4f62-b547-96e872121635
Dag2DB24,763dc5c8-f63b-4aef-8dfd-9b1543ec5129,AccountDisabled,NAEAST\Rosanna.Kelly,Rosanna.Kelly,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,SG-01 ,Rosanna.Kelly@a360labs.com,RosannaKelly,a360labs.net/a360labsUsers/cloud,RosannaKelly@a360labs.com,Rosanna Kelly,"CN=Rosanna Kelly,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",5ed71453-2d62-415f-97d1-27977bf6fe49
Dag2DB57,65e35b6f-d350-4181-8723-d59fc91e5396,AccountDisabled,NAEAST\Mitchel.Rocha,Mitchel.Rocha,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,HU-BU ,Mitchel.Rocha@a360labs.com,MitchelRocha,a360labs.net/a360labsUsers/cloud,MitchelRocha@a360labs.com,Mitchel Rocha,"CN=Mitchel Rocha,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",e4e034b9-fc20-46f5-b7f4-c586a5c50dd6
Dag2DB35,22deeae9-b072-4043-a112-a5e0772680ed,AccountDisabled,NAEAST\Columbus.Osborne,Columbus.Osborne,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Columbus.Osborne@a360labs.com,ColumbusOsborne,a360labs.net/a360labsUsers/cloud,ColumbusOsborne@a360labs.com,Columbus Osborne,"CN=Columbus Osborne,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",70193b07-bc55-45ef-8d09-b0c927fa5197
Dag2DB29,98bebbc1-5594-47b6-bd31-d0bbcdce0ca2,AccountDisabled,NAEAST\Hector.Acosta,Hector.Acosta,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-WA ,Hector.Acosta@a360labs.com,HectorAcosta,a360labs.net/a360labsUsers/cloud,HectorAcosta@a360labs.com,Hector Acosta,"CN=Hector Acosta,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",632ba2ff-59e7-4928-95f7-2aba6170338f
Dag2DB46,fadc4849-6056-45a2-9e93-9ffe55d46701,AccountDisabled,EMEA\Sabrina.Ortega,Sabrina.Ortega,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Sabrina.Ortega@a360labs.com,SabrinaOrtega,a360labs.net/a360labsUsers/cloud,SabrinaOrtega@a360labs.com,Sabrina Ortega,"CN=Sabrina Ortega,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",60cb8ab6-d3d9-4e8e-b43c-bbf3e995ef69
Dag2DB13,577f5332-74ce-4e01-8e20-ca65d10be4fb,AccountDisabled,EMEA\Richie.Case,Richie.Case,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Richie.Case@a360labs.com,RichieCase,a360labs.net/a360labsUsers/cloud,RichieCase@a360labs.com,Richie Case,"CN=Richie Case,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",b15d06d7-9392-4e54-8bc8-f04fb2df2388
Dag2DB21,b8ae8684-338d-4333-891b-14ff8423ace4,AccountDisabled,EMEA\Rodney.Atkins,Rodney.Atkins,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Rodney.Atkins@a360labs.com,RodneyAtkins,a360labs.net/a360labsUsers/cloud,RodneyAtkins@a360labs.com,Rodney Atkins,"CN=Rodney Atkins,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",c48cb77f-c6ec-4d1e-af31-e97fbaa40c50
Dag2DB9,730ec5f6-60ae-4d7a-96b3-215e02ebc99c,AccountDisabled,EMEA\Lynda.Zimmerman,Lynda.Zimmerman,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,HU-BU ,Lynda.Zimmerman@a360labs.com,LyndaZimmerman,a360labs.net/a360labsUsers/cloud,LyndaZimmerman@a360labs.com,Lynda Zimmerman,"CN=Lynda Zimmerman,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",d139d587-01bf-460b-aa07-05dd3f860a7f
Dag2DB42,584859be-9d49-452d-9bbf-cfc9d53128f2,AccountDisabled,EMEA\Ashlee.Frey,Ashlee.Frey,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CA ,Ashlee.Frey@a360labs.com,AshleeFrey,a360labs.net/a360labsUsers/cloud,AshleeFrey@a360labs.com,Ashlee Frey,"CN=Ashlee Frey,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",bf4966fa-5626-428c-b01e-4c39845e58cb
